latitude,longitude,elevation_m,elevation_ft
44.744403610,-93.377766990,278.900,915.027
44.744403610,-93.377708410,278.958,915.217
44.744403610,-93.377649831,279.018,915.414
44.744403610,-93.377591251,279.047,915.509
44.744403610,-93.377532672,279.073,915.595
44.744403610,-93.377474092,279.113,915.725
44.744403610,-93.377415513,279.177,915.934
44.744403610,-93.377356933,279.248,916.167
44.744403610,-93.377298354,279.243,916.152
44.744403610,-93.377239774,279.237,916.132
44.744403610,-93.377181195,279.229,916.106
44.744403610,-93.377122615,279.221,916.081
44.744403610,-93.377064036,279.213,916.055
44.744403610,-93.377005456,279.205,916.028
44.744403610,-93.376946877,279.198,916.003
44.744403610,-93.376888297,279.190,915.979
44.744403610,-93.376829718,279.183,915.955
44.744403610,-93.376771138,279.176,915.931
44.744403610,-93.376712559,279.168,915.906
44.744403610,-93.376653979,279.159,915.877
44.744403610,-93.376595400,279.150,915.847
44.744403610,-93.376536820,279.141,915.818
44.744403610,-93.376478240,279.132,915.788
44.744403610,-93.376419661,279.123,915.758
44.744444670,-93.378411365,279.752,917.820
44.744444670,-93.378352785,279.633,917.430
44.744444670,-93.378294206,279.494,916.976
44.744444670,-93.378235626,279.375,916.586
44.744444670,-93.378177047,279.262,916.215
44.744444670,-93.378118467,279.157,915.871
44.744444670,-93.378059888,279.056,915.538
44.744444670,-93.378001308,278.959,915.220
44.744444670,-93.377942728,278.884,914.974
44.744444670,-93.377884149,278.833,914.807
44.744444670,-93.377825569,278.802,914.705
44.744444670,-93.377766990,278.852,914.868
44.744444670,-93.377708410,278.913,915.068
44.744444670,-93.377649831,278.987,915.312
44.744444670,-93.377591251,279.022,915.428
44.744444670,-93.377532672,279.054,915.531
44.744444670,-93.377474092,279.102,915.689
44.744444670,-93.377415513,279.173,915.921
44.744444670,-93.377356933,279.250,916.174
44.744444670,-93.377298354,279.248,916.167
44.744444670,-93.377239774,279.243,916.151
44.744444670,-93.377181195,279.235,916.126
44.744444670,-93.377122615,279.227,916.098
44.744444670,-93.377064036,279.218,916.071
44.744444670,-93.377005456,279.210,916.043
44.744444670,-93.376946877,279.202,916.016
44.744444670,-93.376888297,279.194,915.989
44.744444670,-93.376829718,279.186,915.963
44.744444670,-93.376771138,279.177,915.936
44.744444670,-93.376712559,279.169,915.909
44.744444670,-93.376653979,279.160,915.880
44.744444670,-93.376595400,279.151,915.851
44.744444670,-93.376536820,279.142,915.821
44.744444670,-93.376478240,279.132,915.788
44.744444670,-93.376419661,279.122,915.755
44.744485730,-93.378411365,279.729,917.747
44.744485730,-93.378352785,279.616,917.375
44.744485730,-93.378294206,279.464,916.876
44.744485730,-93.378235626,279.351,916.506
44.744485730,-93.378177047,279.243,916.152
44.744485730,-93.378118467,279.135,915.797
44.744485730,-93.378059888,279.028,915.446
44.744485730,-93.378001308,278.926,915.110
44.744485730,-93.377942728,278.847,914.852
44.744485730,-93.377884149,278.793,914.675
44.744485730,-93.377825569,278.758,914.562
44.744485730,-93.377766990,278.804,914.710
44.744485730,-93.377708410,278.867,914.919
44.744485730,-93.377649831,278.956,915.210
44.744485730,-93.377591251,278.997,915.346
44.744485730,-93.377532672,279.034,915.466
44.744485730,-93.377474092,279.091,915.653
44.744485730,-93.377415513,279.169,915.909
44.744485730,-93.377356933,279.252,916.181
44.744485730,-93.377298354,279.252,916.182
44.744485730,-93.377239774,279.249,916.170
44.744485730,-93.377181195,279.241,916.145
44.744485730,-93.377122615,279.232,916.116
44.744485730,-93.377064036,279.223,916.087
44.744485730,-93.377005456,279.214,916.058
44.744485730,-93.376946877,279.206,916.029
44.744485730,-93.376888297,279.197,916.000
44.744485730,-93.376829718,279.188,915.971
44.744485730,-93.376771138,279.179,915.942
44.744485730,-93.376712559,279.170,915.913
44.744485730,-93.376653979,279.161,915.883
